{'GVBG': 1, 'GVBD': 0, 'CDAN': False, 'use_gpu': True, 'gpu': '0', 'test_person': 15, 'num_iterations': 10000, 'print_num': 10, 'shuffle': True, 'test_interval': 100, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'san', 'batch_size': 64, 'out_file': <_io.TextIOWrapper name='san\\log.txt' mode='w' encoding='cp936'>, 'prep': {'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_params': {'lr': 0.001, 'gamma': 0.001, 'power': 0.75}}, 'network': {'params': {'class_num': 3}}}iter: 00000, transferloss: 0.69553, classifier_loss: 1.10301, mean entropy:0.33347, gvbg:0.04231, gvbd:0.08655
iter: 00450, transferloss: 0.68352, classifier_loss: 0.58025, mean entropy:0.52852, gvbg:0.01106, gvbd:0.09989
iter: 00460, transferloss: 0.69807, classifier_loss: 0.63563, mean entropy:0.50633, gvbg:0.01114, gvbd:0.09461
iter: 00470, transferloss: 0.68985, classifier_loss: 0.62904, mean entropy:0.54129, gvbg:0.01301, gvbd:0.10238
iter: 00480, transferloss: 0.67341, classifier_loss: 0.66049, mean entropy:0.49484, gvbg:0.01111, gvbd:0.09645
iter: 00490, transferloss: 0.66982, classifier_loss: 0.59953, mean entropy:0.52700, gvbg:0.01434, gvbd:0.09614
iter: 00500, transferloss: 0.70402, classifier_loss: 0.58034, mean entropy:0.56161, gvbg:0.01295, gvbd:0.08701
iter: 00510, transferloss: 0.69039, classifier_loss: 0.53538, mean entropy:0.55613, gvbg:0.01118, gvbd:0.08410
iter: 00520, transferloss: 0.69803, classifier_loss: 0.53689, mean entropy:0.55106, gvbg:0.01118, gvbd:0.09157
iter: 00530, transferloss: 0.68608, classifier_loss: 0.56925, mean entropy:0.54868, gvbg:0.01150, gvbd:0.09415
iter: 00540, transferloss: 0.66125, classifier_loss: 0.60101, mean entropy:0.53043, gvbg:0.00972, gvbd:0.08375
iter: 00550, transferloss: 0.71695, classifier_loss: 0.51144, mean entropy:0.55768, gvbg:0.00993, gvbd:0.09070
iter: 00560, transferloss: 0.68188, classifier_loss: 0.55616, mean entropy:0.54389, gvbg:0.01162, gvbd:0.08810
iter: 00570, transferloss: 0.68988, classifier_loss: 0.58203, mean entropy:0.56862, gvbg:0.01163, gvbd:0.08854
iter: 00580, transferloss: 0.67620, classifier_loss: 0.61368, mean entropy:0.56563, gvbg:0.01066, gvbd:0.08880
iter: 00590, transferloss: 0.68003, classifier_loss: 0.51397, mean entropy:0.61196, gvbg:0.01057, gvbd:0.08666
iter: 00600, transferloss: 0.67384, classifier_loss: 0.55252, mean entropy:0.58360, gvbg:0.01114, gvbd:0.07431
iter: 00610, transferloss: 0.67590, classifier_loss: 0.52050, mean entropy:0.56298, gvbg:0.01232, gvbd:0.07432
iter: 00620, transferloss: 0.69723, classifier_loss: 0.44876, mean entropy:0.59214, gvbg:0.01016, gvbd:0.07756
iter: 00630, transferloss: 0.69124, classifier_loss: 0.56286, mean entropy:0.58641, gvbg:0.00998, gvbd:0.07643
iter: 00640, transferloss: 0.69324, classifier_loss: 0.36801, mean entropy:0.64087, gvbg:0.01006, gvbd:0.07882
iter: 00650, transferloss: 0.67433, classifier_loss: 0.56321, mean entropy:0.60012, gvbg:0.00948, gvbd:0.07525
iter: 00660, transferloss: 0.68417, classifier_loss: 0.43430, mean entropy:0.65382, gvbg:0.01392, gvbd:0.08044
iter: 00670, transferloss: 0.70434, classifier_loss: 0.45826, mean entropy:0.63888, gvbg:0.01036, gvbd:0.07798
iter: 00680, transferloss: 0.69272, classifier_loss: 0.50055, mean entropy:0.61023, gvbg:0.00920, gvbd:0.07339
iter: 00690, transferloss: 0.69279, classifier_loss: 0.57026, mean entropy:0.58508, gvbg:0.01282, gvbd:0.06885
iter: 00700, transferloss: 0.69609, classifier_loss: 0.51424, mean entropy:0.63108, gvbg:0.00918, gvbd:0.06755
iter: 00710, transferloss: 0.67987, classifier_loss: 0.58408, mean entropy:0.61680, gvbg:0.01032, gvbd:0.07523
iter: 00720, transferloss: 0.68724, classifier_loss: 0.39662, mean entropy:0.66810, gvbg:0.00891, gvbd:0.07167
iter: 00730, transferloss: 0.69819, classifier_loss: 0.43618, mean entropy:0.62804, gvbg:0.01079, gvbd:0.07142
iter: 00740, transferloss: 0.70353, classifier_loss: 0.49584, mean entropy:0.62365, gvbg:0.01079, gvbd:0.06759
iter: 00750, transferloss: 0.69664, classifier_loss: 0.41927, mean entropy:0.65461, gvbg:0.01066, gvbd:0.07233
iter: 00760, transferloss: 0.70123, classifier_loss: 0.45034, mean entropy:0.63069, gvbg:0.01067, gvbd:0.07290
iter: 00770, transferloss: 0.68299, classifier_loss: 0.51527, mean entropy:0.64296, gvbg:0.00974, gvbd:0.06667
iter: 00780, transferloss: 0.68741, classifier_loss: 0.34637, mean entropy:0.67929, gvbg:0.00872, gvbd:0.06616
iter: 00790, transferloss: 0.68967, classifier_loss: 0.46018, mean entropy:0.64574, gvbg:0.01054, gvbd:0.06764
iter: 00800, transferloss: 0.70086, classifier_loss: 0.39006, mean entropy:0.65694, gvbg:0.01217, gvbd:0.06886
iter: 00810, transferloss: 0.70558, classifier_loss: 0.43599, mean entropy:0.63383, gvbg:0.01464, gvbd:0.06408
iter: 00820, transferloss: 0.70058, classifier_loss: 0.32609, mean entropy:0.68076, gvbg:0.00971, gvbd:0.07575
iter: 00830, transferloss: 0.69079, classifier_loss: 0.35813, mean entropy:0.68316, gvbg:0.01009, gvbd:0.06659
iter: 00840, transferloss: 0.67582, classifier_loss: 0.36263, mean entropy:0.70573, gvbg:0.01104, gvbd:0.06855
iter: 00850, transferloss: 0.68895, classifier_loss: 0.55115, mean entropy:0.67893, gvbg:0.00911, gvbd:0.07043
iter: 00860, transferloss: 0.67520, classifier_loss: 0.36856, mean entropy:0.67604, gvbg:0.00928, gvbd:0.06799
iter: 00870, transferloss: 0.69642, classifier_loss: 0.41255, mean entropy:0.69504, gvbg:0.01119, gvbd:0.06656
iter: 00880, transferloss: 0.68546, classifier_loss: 0.37769, mean entropy:0.71008, gvbg:0.01025, gvbd:0.07056
iter: 00890, transferloss: 0.68153, classifier_loss: 0.45338, mean entropy:0.69496, gvbg:0.00905, gvbd:0.07076
iter: 00900, transferloss: 0.69898, classifier_loss: 0.37395, mean entropy:0.71145, gvbg:0.00956, gvbd:0.06968
iter: 00910, transferloss: 0.69124, classifier_loss: 0.43166, mean entropy:0.73421, gvbg:0.01180, gvbd:0.07924
iter: 00920, transferloss: 0.67582, classifier_loss: 0.35915, mean entropy:0.71542, gvbg:0.01026, gvbd:0.07564
iter: 00930, transferloss: 0.69796, classifier_loss: 0.32894, mean entropy:0.73280, gvbg:0.01088, gvbd:0.07367
iter: 00940, transferloss: 0.67234, classifier_loss: 0.49429, mean entropy:0.70137, gvbg:0.00891, gvbd:0.07199
iter: 00950, transferloss: 0.68605, classifier_loss: 0.33734, mean entropy:0.74071, gvbg:0.01064, gvbd:0.06712
iter: 00960, transferloss: 0.68755, classifier_loss: 0.26933, mean entropy:0.71237, gvbg:0.01009, gvbd:0.06462
iter: 00970, transferloss: 0.68199, classifier_loss: 0.39979, mean entropy:0.72262, gvbg:0.00959, gvbd:0.07151
iter: 00980, transferloss: 0.70131, classifier_loss: 0.37186, mean entropy:0.71368, gvbg:0.00888, gvbd:0.07161
iter: 00990, transferloss: 0.70468, classifier_loss: 0.18978, mean entropy:0.73778, gvbg:0.00924, gvbd:0.05095
iter: 01000, transferloss: 0.67027, classifier_loss: 0.33230, mean entropy:0.75343, gvbg:0.00905, gvbd:0.06256
iter: 01010, transferloss: 0.67320, classifier_loss: 0.30263, mean entropy:0.75981, gvbg:0.00927, gvbd:0.08081
iter: 01020, transferloss: 0.70004, classifier_loss: 0.29602, mean entropy:0.74741, gvbg:0.01020, gvbd:0.06849
iter: 01030, transferloss: 0.69433, classifier_loss: 0.23465, mean entropy:0.77820, gvbg:0.00821, gvbd:0.06911
